City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Jaipur,303.5007935,303.5007935,07-2017
Kolkata,301.2644958,299.6387024,07-2017
Mumbai,298.8274231,298.8274231,07-2017
Pune,298.8274231,298.8274231,07-2017
Ahmedabad,304.2685547,301.7298279,08-2017
Bangalore,296.9628906,296.351593,08-2017
Bhopal,298.9790344,298.6419373,08-2017
Bhubaneswar,297.2830505,297.2830505,08-2017
Chennai,301.0782166,301.0782166,08-2017
Delhi,304.3040161,304.3040161,08-2017
Hyderabad,297.715332,296.9112854,08-2017
Jaipur,302.3951416,302.3951416,08-2017
Kolkata,301.4766235,299.896759,08-2017
Mumbai,298.3653259,298.3653259,08-2017
Pune,298.3653259,298.3653259,08-2017
Ahmedabad,304.1266479,302.8683167,09-2017
Bangalore,296.875824,296.5874939,09-2017
Bhopal,300.1741638,299.0274963,09-2017
Bhubaneswar,297.1241455,297.1241455,09-2017
Chennai,300.8049927,300.8049927,09-2017
Delhi,301.5650024,301.5650024,09-2017
Hyderabad,297.6166687,296.9408264,09-2017
Jaipur,301.6066589,301.6066589,09-2017
Kolkata,301.625824,299.914978,09-2017
Mumbai,299.144165,299.144165,09-2017
Pune,299.144165,299.144165,09-2017
Ahmedabad,305.0612793,304.5096741,10-2017
Bangalore,297.1685486,297.0137024,10-2017
Bhopal,302.0620728,300.4838562,10-2017
Bhubaneswar,296.3419189,296.3419189,10-2017
Chennai,300.5370789,300.5370789,10-2017
Delhi,299.2701416,299.2701416,10-2017
Hyderabad,298.771759,297.3903198,10-2017
Jaipur,301.3233643,301.3233643,10-2017
Kolkata,299.6878967,298.9080505,10-2017
Mumbai,301.2862854,301.2862854,10-2017
Pune,301.2862854,301.2862854,10-2017
Ahmedabad,299.4033203,298.2866516,11-2017
Bangalore,297.6241455,295.9083252,11-2017
Bhopal,296.8724976,296.063324,11-2017
Bhubaneswar,294.1399841,294.1399841,11-2017
Chennai,298.8966675,298.8966675,11-2017
Delhi,295.2291565,295.2291565,11-2017
Hyderabad,296.0341492,296.0058289,11-2017
Jaipur,295.6799927,295.6799927,11-2017
Kolkata,296.9691467,296.6266479,11-2017
Mumbai,298.9816589,298.9816589,11-2017
Pune,298.9816589,298.9816589,11-2017
Ahmedabad,293.85672,293.3259583,12-2017
Bangalore,296.866333,295.1307678,12-2017
Bhopal,292.865387,292.4548035,12-2017
Bhubaneswar,292.7240295,292.7240295,12-2017
Chennai,297.8105774,297.8105774,12-2017
Delhi,291.0557556,291.0557556,12-2017
Hyderabad,295.0201721,294.5903625,12-2017
Jaipur,291.2048035,291.2048035,12-2017
Kolkata,295.6499939,294.8509521,12-2017
Mumbai,297.0961304,297.0961304,12-2017
Pune,297.0961304,297.0961304,12-2017
Ahmedabad,296.4596558,295.6128845,01-2018
Bangalore,297.8854675,296.0056458,01-2018
Bhopal,294.2766113,293.3201599,01-2018
Bhubaneswar,291.6080627,291.6080627,01-2018
Chennai,297.0298157,297.0298157,01-2018
Delhi,291.3056335,291.3056335,01-2018
Hyderabad,296.0177307,295.3241882,01-2018
Jaipur,292.1411133,292.1411133,01-2018
Kolkata,293.3322449,293.0733643,01-2018
Mumbai,297.8209534,297.8209534,01-2018
Pune,297.8209534,297.8209534,01-2018
Ahmedabad,298.43927,298.0107117,02-2018
Bangalore,299.0830383,297.8490906,02-2018
Bhopal,296.84375,296.2749939,02-2018
Bhubaneswar,295.6151733,295.6151733,02-2018
Chennai,298.2133789,298.2133789,02-2018
Delhi,293.7928467,293.7928467,02-2018
Hyderabad,298.6205139,298.1116028,02-2018
Jaipur,294.9365845,294.9365845,02-2018
Kolkata,298.2803345,297.2249756,02-2018
Mumbai,299.18927,299.18927,02-2018
Pune,299.18927,299.18927,02-2018
Ahmedabad,302.8217773,302.7951355,03-2018
Bangalore,301.7524109,300.8564453,03-2018
Bhopal,301.4378967,301.3894958,03-2018
Bhubaneswar,300.1572571,300.1572571,03-2018
Chennai,301.4129028,301.4129028,03-2018
Delhi,297.7628784,297.7628784,03-2018
Hyderabad,302.3733826,302.307251,03-2018
Jaipur,299.8443298,299.8443298,03-2018
Kolkata,302.7612915,301.5096741,03-2018
Mumbai,301.0999756,301.0999756,03-2018
Pune,301.0999756,301.0999756,03-2018
Ahmedabad,306.0091553,305.5149841,04-2018
Bangalore,304.6741638,302.4400024,04-2018
Bhopal,305.6158142,305.3608398,04-2018
Bhubaneswar,302.3416443,302.3416443,04-2018
Chennai,304.1474915,304.1474915,04-2018
Delhi,302.5333252,302.5333252,04-2018
Hyderabad,305.8125,305.519989,04-2018
Jaipur,304.6433105,304.6433105,04-2018
Kolkata,303.1908264,302.5466614,04-2018
Mumbai,302.125824,302.125824,04-2018
Pune,302.125824,302.125824,04-2018
Ahmedabad,308.2967529,308.2467651,05-2018
Bangalore,305.1104736,302.8145142,05-2018
Bhopal,308.6290283,307.6080627,05-2018
Bhubaneswar,304.7644958,304.7644958,05-2018
Chennai,305.0612793,305.0612793,05-2018
Delhi,307.2766113,307.2766113,05-2018
Hyderabad,307.829834,307.0354919,05-2018
Jaipur,308.1733704,308.1733704,05-2018
Kolkata,303.4709473,303.3467712,05-2018
Mumbai,303.3008118,303.3008118,05-2018
Pune,303.3008118,303.3008118,05-2018
Ahmedabad,307.0233154,306.0016479,06-2018
Bangalore,299.1499939,297.3233337,06-2018
Bhopal,306.7341614,305.0924988,06-2018
Bhubaneswar,303.1099854,303.1099854,06-2018
Chennai,304.1366577,304.1366577,06-2018
Delhi,310.2116699,310.2116699,06-2018
Hyderabad,302.4591675,300.4799805,06-2018
Jaipur,308.3741455,308.3741455,06-2018
Kolkata,303.7266541,303.019989,06-2018
Mumbai,300.6616516,300.6616516,06-2018
Pune,300.6616516,300.6616516,06-2018
Ahmedabad,305.5975647,303.1846619,07-2018
Bangalore,297.6306458,296.3669434,07-2018
Bhopal,301.1120911,300.9846802,07-2018
Bhubaneswar,298.4290161,298.4290161,07-2018
Chennai,302.5024109,302.5024109,07-2018
Delhi,308.4782104,308.4782104,07-2018
Hyderabad,298.0483704,297.4451599,07-2018
Jaipur,306.0959778,306.0959778,07-2018
Kolkata,302.0967712,300.5427246,07-2018
Mumbai,298.9298401,298.9298401,07-2018
Pune,298.9298401,298.9298401,07-2018
Ahmedabad,303.6871033,301.9854736,08-2018
Bangalore,296.9499817,295.6911316,08-2018
Bhopal,299.8346558,299.3040161,08-2018
Bhubaneswar,297.4040222,297.4040222,08-2018
Chennai,301.7596741,301.7596741,08-2018
Delhi,305.8806458,305.8806458,08-2018
Hyderabad,297.3604736,296.7604675,08-2018
Jaipur,303.932251,303.932251,08-2018
Kolkata,301.7999878,300.0556335,08-2018
Mumbai,298.1282043,298.1282043,08-2018
Pune,298.1282043,298.1282043,08-2018
Ahmedabad,303.2191467,301.8491516,09-2018
Bangalore,297.2408142,296.2774963,09-2018
Bhopal,298.9508362,297.9866638,09-2018
Bhubaneswar,297.0599976,297.0599976,09-2018
Chennai,301.105835,301.105835,09-2018
Delhi,302.958313,302.958313,09-2018
Hyderabad,297.4433289,296.9549866,09-2018
Jaipur,301.0058289,301.0058289,09-2018
Kolkata,301.3483276,299.8166504,09-2018
Mumbai,298.8308105,298.8308105,09-2018
Pune,298.8308105,298.8308105,09-2018
Ahmedabad,304.4596558,303.9266052,10-2018
Bangalore,297.9064331,297.4709473,10-2018
Bhopal,301.3161316,299.9080505,10-2018
Bhubaneswar,296.0257874,296.0257874,10-2018
Chennai,300.6669312,300.6669312,10-2018
Delhi,298.7411194,298.7411194,10-2018
Hyderabad,299.5523987,298.352417,10-2018
Jaipur,300.3427429,300.3427429,10-2018
Kolkata,299.1991882,298.5830688,10-2018
Mumbai,302.1782227,302.1782227,10-2018
Pune,302.1782227,302.1782227,10-2018
Ahmedabad,301.0216675,299.5849915,11-2018
Bangalore,298.2566528,296.520813,11-2018
Bhopal,298.0083313,297.3066406,11-2018
Bhubaneswar,295.144165,295.144165,11-2018
Chennai,299.1933289,299.1933289,11-2018
Delhi,296.039978,296.039978,11-2018
Hyderabad,298.1699829,297.3191528,11-2018
Jaipur,296.6875,296.6875,11-2018
Kolkata,297.6741638,297.2941589,11-2018
Mumbai,300.2833252,300.2833252,11-2018
Pune,300.2833252,300.2833252,11-2018
Ahmedabad,295.6120911,293.9854736,12-2018
Bangalore,297.7354736,295.9273987,12-2018
Bhopal,293.1669312,293.0999756,12-2018
Bhubaneswar,292.0491943,292.0491943,12-2018
Chennai,297.8878784,297.8878784,12-2018
Delhi,292.1459656,292.1459656,12-2018
Hyderabad,295.6983643,294.8983765,12-2018
Jaipur,292.0491943,292.0491943,12-2018
Kolkata,295.4677429,294.6483765,12-2018
Mumbai,296.4741821,296.4741821,12-2018
Pune,296.4741821,296.4741821,12-2018
Ahmedabad,294.7411194,293.4362793,01-2019
Bangalore,297.6725769,295.2169189,01-2019
Bhopal,292.6838684,292.4919128,01-2019
Bhubaneswar,292.2249756,292.2249756,01-2019
Chennai,296.4233704,296.4233704,01-2019
Delhi,290.6411133,290.6411133,01-2019
Hyderabad,294.9693298,294.4153137,01-2019
Jaipur,290.7741699,290.7741699,01-2019
Kolkata,295.7233887,294.7209473,01-2019
Mumbai,296.1701355,296.1701355,01-2019
Pune,296.1701355,296.1701355,01-2019
Ahmedabad,295.2705383,294.6821289,02-2019
Bangalore,300.0294495,299.1803589,02-2019
Bhopal,295.1178589,294.5294495,02-2019
Bhubaneswar,295.2669373,295.2669373,02-2019
Chennai,299.0776672,299.0776672,02-2019
Delhi,291.9892883,291.9892883,02-2019
Hyderabad,299.4348145,298.3794556,02-2019
Jaipur,292.3973083,292.3973083,02-2019
Kolkata,299.0062256,297.1919556,02-2019
Mumbai,298.1053467,298.1053467,02-2019
Pune,298.1053467,298.1053467,02-2019
Ahmedabad,299.8395081,299.3104858,03-2019
Bangalore,302.726593,301.1201477,03-2019
Bhopal,299.3161316,298.6782227,03-2019
Bhubaneswar,299.1096802,299.1096802,03-2019
Chennai,302.1403198,302.1403198,03-2019
Delhi,295.1838684,295.1838684,03-2019
Hyderabad,303.306427,302.2653198,03-2019
Jaipur,296.4064331,296.4064331,03-2019
Kolkata,301.7604675,300.5677185,03-2019
Mumbai,299.9822388,299.9822388,03-2019
Pune,299.9822388,299.9822388,03-2019
Ahmedabad,305.9733276,305.1483154,04-2019
Bangalore,305.8616638,303.7124939,04-2019
Bhopal,306.269165,305.4674988,04-2019
Bhubaneswar,303.8249817,303.8249817,04-2019
Chennai,304.4066467,304.4066467,04-2019
Delhi,302.6049805,302.6049805,04-2019
Hyderabad,306.7283325,306.664978,04-2019
Jaipur,305.1433105,305.1433105,04-2019
Kolkata,304.9841614,304.2158203,04-2019
Mumbai,302.8366699,302.8366699,04-2019
Pune,302.8366699,302.8366699,04-2019
Ahmedabad,306.9112854,306.9048462,05-2019
Bangalore,306.2185364,302.739502,05-2019
Bhopal,307.3201599,305.9588623,05-2019
Bhubaneswar,305.8959656,305.8959656,05-2019
Chennai,306.3314514,306.3314514,05-2019
Delhi,306.2120972,306.2120972,05-2019
Hyderabad,306.8233948,306.7282104,05-2019
Jaipur,306.808075,306.808075,05-2019
Kolkata,307.7241821,305.816925,05-2019
Mumbai,303.1685486,303.1685486,05-2019
Pune,303.1685486,303.1685486,05-2019
Ahmedabad,308.394989,308.0799866,06-2019
Bangalore,301.1333313,298.625824,06-2019
Bhopal,308.1666565,307.0083313,06-2019
Bhubaneswar,303.6941528,303.6941528,06-2019
Chennai,305.5574951,305.5574951,06-2019
Delhi,309.7891541,309.7891541,06-2019
Hyderabad,304.7200012,302.5025024,06-2019
Jaipur,309.3066711,309.3066711,06-2019
Kolkata,304.0566711,303.1949768,06-2019
Mumbai,301.9199829,301.9199829,06-2019
Pune,301.9199829,301.9199829,06-2019
Ahmedabad,305.5508118,303.2161255,07-2019
Bangalore,298.5338745,297.3507996,07-2019
Bhopal,302.6387024,301.6161194,07-2019
Bhubaneswar,297.9903259,297.9903259,07-2019
Chennai,302.7895203,302.7895203,07-2019
Delhi,307.9927368,307.9927368,07-2019
Hyderabad,298.7137146,298.5758057,07-2019
Jaipur,306.1669312,306.1669312,07-2019
Kolkata,302.0153198,300.4532166,07-2019
Mumbai,299.4854736,299.4854736,07-2019
Pune,299.4854736,299.4854736,07-2019
Ahmedabad,304.4354858,302.1677246,08-2019
Bangalore,297.4136963,296.8620911,08-2019
Bhopal,299.249176,298.5959473,08-2019
Bhubaneswar,297.6201477,297.6201477,08-2019
Chennai,301.3330688,301.3330688,08-2019
Delhi,303.8935547,303.8935547,08-2019
Hyderabad,297.977417,297.5233765,08-2019
Jaipur,301.8475647,301.8475647,08-2019
Kolkata,302.1903076,300.3153076,08-2019
Mumbai,298.6782227,298.6782227,08-2019
Pune,298.6782227,298.6782227,08-2019
Ahmedabad,306.145813,303.2024841,09-2019
Bangalore,297.3249817,297.1591492,09-2019
Bhopal,299.4891663,298.4541626,09-2019
Bhubaneswar,297.1016541,297.1016541,09-2019
Chennai,300.706665,300.706665,09-2019
Delhi,303.1124878,303.1124878,09-2019
Hyderabad,298.1233215,297.5799866,09-2019
Jaipur,301.3424988,301.3424988,09-2019
Kolkata,301.3224792,299.7008362,09-2019
Mumbai,298.9416504,298.9416504,09-2019
Pune,298.9416504,298.9416504,09-2019
Ahmedabad,305.6733704,303.5975647,10-2019
Bangalore,297.409668,296.8822327,10-2019
Bhopal,300.057251,298.6951599,10-2019
Bhubaneswar,296.0032043,296.0032043,10-2019
Chennai,300.3241882,300.3241882,10-2019
Delhi,298.7233887,298.7233887,10-2019
Hyderabad,297.3628845,297.0032043,10-2019
Jaipur,299.9112854,299.9112854,10-2019
Kolkata,299.8766174,298.8306274,10-2019
Mumbai,299.7612915,299.7612915,10-2019
Pune,299.7612915,299.7612915,10-2019
Ahmedabad,299.2533264,298.7491455,11-2019
Bangalore,297.9041443,296.7958069,11-2019
Bhopal,297.9308167,297.4099731,11-2019
Bhubaneswar,295.2608337,295.2608337,11-2019
Chennai,300.1974792,300.1974792,11-2019
Delhi,295.4591675,295.4591675,11-2019
Hyderabad,297.144165,296.9233093,11-2019
Jaipur,296.2049866,296.2049866,11-2019
Kolkata,298.5016479,297.6758118,11-2019
Mumbai,300.1799927,300.1799927,11-2019
Pune,300.1799927,300.1799927,11-2019
Ahmedabad,294.1838684,292.352417,12-2019
Bangalore,297.7822571,295.7161255,12-2019
Bhopal,291.7354736,291.3193359,12-2019
Bhubaneswar,291.6975708,291.6975708,12-2019
Chennai,298.2427368,298.2427368,12-2019
Delhi,291.4266052,291.4266052,12-2019
Hyderabad,295.6927185,295.1040344,12-2019
Jaipur,290.7233887,290.7233887,12-2019
Kolkata,295.0362854,294.4878845,12-2019
Mumbai,298.5604858,298.5604858,12-2019
Pune,298.5604858,298.5604858,12-2019
Ahmedabad,292.4983826,291.6104736,01-2020
Bangalore,298.6419373,297.431427,01-2020
Bhopal,291.2516174,290.7572632,01-2020
Bhubaneswar,291.0064392,291.0064392,01-2020
Chennai,298.3903198,298.3903198,01-2020
Delhi,289.6137085,289.6137085,01-2020
Hyderabad,297.0774231,295.0580444,01-2020
Jaipur,289.3209534,289.3209534,01-2020
Kolkata,294.4306335,293.4669189,01-2020
Mumbai,296.8274231,296.8274231,01-2020
Pune,296.8274231,296.8274231,01-2020
Ahmedabad,296.874115,295.7904968,02-2020
Bangalore,299.6448059,298.4534302,02-2020
Bhopal,294.8663635,294.2698059,02-2020
Bhubaneswar,293.0465393,293.0465393,02-2020
Chennai,298.8844604,298.8844604,02-2020
Delhi,292.860321,292.860321,02-2020
Hyderabad,297.9327393,296.5137939,02-2020
Jaipur,293.0758667,293.0758667,02-2020
Kolkata,296.4956665,295.7370605,02-2020
Mumbai,299.1370544,299.1370544,02-2020
Pune,299.1370544,299.1370544,02-2020
Ahmedabad,299.7935486,299.0596619,03-2020
Bangalore,301.6217651,301.5129089,03-2020
Bhopal,298.2185364,297.9024048,03-2020
Bhubaneswar,297.9733887,297.9733887,03-2020
Chennai,300.8604736,300.8604736,03-2020
Delhi,294.4499817,294.4499817,03-2020
Hyderabad,301.6338501,299.9959717,03-2020
Jaipur,295.7919312,295.7919312,03-2020
Kolkata,301.0056458,300.0709534,03-2020
Mumbai,299.7169189,299.7169189,03-2020
Pune,299.7169189,299.7169189,03-2020
Ahmedabad,306.2433167,306.0416565,04-2020
Bangalore,304.5899963,303.8616638,04-2020
Bhopal,304.4266663,303.7558289,04-2020
Bhubaneswar,301.4691467,301.4691467,04-2020
Chennai,303.4533081,303.4533081,04-2020
Delhi,300.1466675,300.1466675,04-2020
Hyderabad,305.8150024,305.5808105,04-2020
Jaipur,302.6300049,302.6300049,04-2020
Kolkata,302.8716431,302.1358337,04-2020
Mumbai,303.6833191,303.6833191,04-2020
Pune,303.6833191,303.6833191,04-2020
Ahmedabad,308.9628906,308.6943359,05-2020
Bangalore,306.034668,304.0725708,05-2020
Bhopal,307.6604614,307.5604858,05-2020
Bhubaneswar,303.3983765,303.3983765,05-2020
Chennai,305.8104858,305.8104858,05-2020
Delhi,306.3322449,306.3322449,05-2020
Hyderabad,307.9443359,307.8258057,05-2020
Jaipur,307.329834,307.329834,05-2020
Kolkata,303.0540161,301.7153015,05-2020
Mumbai,304.8201599,304.8201599,05-2020
Pune,304.8201599,304.8201599,05-2020
Ahmedabad,308.5025024,308.2258301,06-2020
Bangalore,299.9833374,297.7525024,06-2020
Bhopal,306.8533325,306.3933411,06-2020
Bhubaneswar,299.5958252,299.5958252,06-2020
Chennai,304.2491455,304.2491455,06-2020
Delhi,308.9924927,308.9924927,06-2020
Hyderabad,302.0558167,300.8824768,06-2020
Jaipur,308.9849854,308.9849854,06-2020
Kolkata,301.9666443,300.1608276,06-2020
Mumbai,301.293335,301.293335,06-2020
Pune,301.293335,301.293335,06-2020
Ahmedabad,307.1314392,304.6741943,07-2020
Bangalore,297.5862732,297.3040161,07-2020
Bhopal,301.7685547,301.3604736,07-2020
Bhubaneswar,297.9943542,297.9943542,07-2020
Chennai,301.0088501,301.0088501,07-2020
Delhi,306.8338623,306.8338623,07-2020
Hyderabad,299.1838684,298.2757874,07-2020
Jaipur,304.932251,304.932251,07-2020
Kolkata,301.8217773,300.1725769,07-2020
Mumbai,300.0540161,300.0540161,07-2020
Pune,300.0540161,300.0540161,07-2020
Ahmedabad,303.9854736,301.4927368,08-2020
Bangalore,297.0612793,296.3532104,08-2020
Bhopal,299.0758057,298.6120911,08-2020
Bhubaneswar,297.601593,297.601593,08-2020
Chennai,300.9870911,300.9870911,08-2020
Delhi,303.1782227,303.1782227,08-2020
Hyderabad,298.3056335,297.7798462,08-2020
Jaipur,300.6709595,300.6709595,08-2020
Kolkata,301.6830444,300.1725769,08-2020
Mumbai,299.2693481,299.2693481,08-2020
Pune,299.2693481,299.2693481,08-2020
Ahmedabad,306.0650024,304.6808167,09-2020
Bangalore,297.144989,297.0658264,09-2020
Bhopal,301.352478,299.5675049,09-2020
Bhubaneswar,297.7374878,297.7374878,09-2020
Chennai,300.6008301,300.6008301,09-2020
Delhi,300.9858398,300.9858398,09-2020
Hyderabad,298.5774841,297.7841492,09-2020
Jaipur,301.7774963,301.7774963,09-2020
Kolkata,301.3158264,300.168335,09-2020
Mumbai,299.9991455,299.9991455,09-2020
Pune,299.9991455,299.9991455,09-2020
Ahmedabad,305.2555542,305.0305481,10-2020
Bangalore,297.4444275,296.8027649,10-2020
Bhopal,302.6499939,300.4499817,10-2020
Bhubaneswar,296.8722229,296.8722229,10-2020
Chennai,301.1444397,301.1444397,10-2020
Delhi,299.3305359,299.3305359,10-2020
Hyderabad,298.6777649,297.7472229,10-2020
Jaipur,301.0971985,301.0971985,10-2020
Kolkata,300.5361023,299.8305359,10-2020
Mumbai,300.8444519,300.8444519,10-2020
Pune,300.8444519,300.8444519,10-2020
